symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,tp1_hit,sl,tp1,tp2
BTCUSDT,LONG,44937.6,44937.6,0.0007,0.0,trailing_stop,2024-01-02 01:00:00+00:00,2024-01-02 01:10:00+00:00,False,44361.128571,45802.307143,46378.778571
ETHUSDT,LONG,2383.57,2383.57,0.0126,0.0,trailing_stop,2024-01-02 01:00:00+00:00,2024-01-02 01:10:00+00:00,False,2360.377143,2418.359286,2441.552143
BTCUSDT,LONG,44937.6,45185.9,0.0007,0.17381,trailing_stop,2024-01-02 01:10:00+00:00,2024-01-02 03:00:00+00:00,False,44361.128571,45802.307143,46378.778571
ETHUSDT,LONG,2366.98,2373.06,0.0127,0.077216,trailing_stop,2024-01-03 01:00:00+00:00,2024-01-03 02:40:00+00:00,False,2348.981429,2393.977857,2411.976429
BTCUSDT,LONG,45312.7,44987.2,0.0007,-0.22785,SL_hit,2024-01-03 02:45:00+00:00,2024-01-03 07:50:00+00:00,False,45019.314286,45752.778571,46046.164286
ETHUSDT,LONG,2373.06,2378.91,0.0126,0.07371,trailing_stop,2024-01-03 02:40:00+00:00,2024-01-03 09:45:00+00:00,False,2355.09,2400.015,2417.985
BTCUSDT,SHORT,42672.3,43080.9,0.0007,-0.28602,SL_hit,2024-01-04 01:30:00+00:00,2024-01-04 02:45:00+00:00,False,42997.628571,42184.307143,41858.978571
ETHUSDT,SHORT,2212.7,2232.31,0.0136,-0.266696,SL_hit,2024-01-04 01:00:00+00:00,2024-01-04 02:55:00+00:00,False,2230.052857,2186.670714,2169.317857
BTCUSDT,LONG,43930.7,44025.4,0.0007,0.06629,trailing_stop,2024-01-04 16:00:00+00:00,2024-01-04 17:35:00+00:00,False,43492.314286,44588.278571,45026.664286
BTCUSDT,LONG,44137.5,43173.4,0.0007,-0.67487,SL_hit,2024-01-05 01:00:00+00:00,2024-01-05 01:45:00+00:00,False,43755.357143,44710.714286,45092.857143
BTCUSDT,LONG,43919.0,43433.9,0.0007,-0.33957,SL_hit,2024-01-05 12:15:00+00:00,2024-01-05 15:50:00+00:00,False,43457.971429,44610.542857,45071.571429
ETHUSDT,LONG,2259.03,2239.9,0.0133,-0.254429,SL_hit,2024-01-06 01:00:00+00:00,2024-01-06 05:20:00+00:00,False,2241.108571,2285.912143,2303.833571
BTCUSDT,LONG,44038.4,43669.3,0.0007,-0.25837,SL_hit,2024-01-06 01:00:00+00:00,2024-01-06 05:25:00+00:00,False,43698.142857,44548.785714,44889.042857
BTCUSDT,LONG,44166.2,43867.4,0.0007,-0.20916,SL_hit,2024-01-07 15:15:00+00:00,2024-01-07 16:50:00+00:00,False,43890.285714,44580.071429,44855.985714
ETHUSDT,LONG,2232.74,2241.24,0.0134,0.1139,trailing_stop,2024-01-07 15:15:00+00:00,2024-01-07 20:35:00+00:00,False,2218.945714,2253.431429,2267.225714
BTCUSDT,LONG,45148.1,44504.9,0.0007,-0.45024,SL_hit,2024-01-08 12:00:00+00:00,2024-01-08 12:25:00+00:00,False,44749.7,45745.7,46144.1
BTCUSDT,LONG,44504.9,44955.1,0.0007,0.31514,trailing_stop,2024-01-08 12:25:00+00:00,2024-01-08 13:15:00+00:00,False,44000.628571,45261.307143,45765.578571
ETHUSDT,LONG,2264.88,2268.76,0.0132,0.051216,trailing_stop,2024-01-08 12:00:00+00:00,2024-01-08 16:15:00+00:00,False,2244.58,2295.33,2315.63
ETHUSDT,LONG,2315.05,2300.5,0.013,-0.18915,SL_hit,2024-01-09 04:45:00+00:00,2024-01-09 07:05:00+00:00,False,2300.854286,2336.343571,2350.539286
BTCUSDT,LONG,46756.3,46175.5,0.0006,-0.34848,SL_hit,2024-01-09 01:00:00+00:00,2024-01-09 12:55:00+00:00,False,46289.342857,47456.735714,47923.692857
ETHUSDT,LONG,2302.47,2264.21,0.013,-0.49738,SL_hit,2024-01-09 12:00:00+00:00,2024-01-09 12:55:00+00:00,False,2285.711429,2327.607857,2344.366429
ETHUSDT,LONG,2605.44,2615.96,0.0115,0.12098,trailing_stop,2024-01-11 01:00:00+00:00,2024-01-11 04:15:00+00:00,False,2548.868571,2690.297143,2746.868571
BTCUSDT,LONG,46645.6,45719.1,0.0006,-0.5559,SL_hit,2024-01-11 01:00:00+00:00,2024-01-11 06:10:00+00:00,False,45719.642857,48034.535714,48960.492857
ETHUSDT,LONG,2612.21,2578.7,0.0115,-0.385365,SL_hit,2024-01-11 04:15:00+00:00,2024-01-11 06:10:00+00:00,False,2580.127143,2660.334286,2692.417143
BTCUSDT,SHORT,45864.7,45483.4,0.0007,0.26691,trailing_stop,2024-01-12 12:30:00+00:00,2024-01-12 14:45:00+00:00,False,46288.885714,45228.421429,44804.235714
BTCUSDT,SHORT,45462.9,44958.5,0.0007,0.35308,trailing_stop,2024-01-12 14:45:00+00:00,2024-01-12 15:25:00+00:00,False,45954.442857,44725.585714,44234.042857
BTCUSDT,SHORT,44958.5,44697.9,0.0007,0.18242,trailing_stop,2024-01-12 15:25:00+00:00,2024-01-12 16:05:00+00:00,False,45516.228571,44121.907143,43564.178571
ETHUSDT,SHORT,2507.76,2558.31,0.012,-0.6066,SL_hit,2024-01-13 01:00:00+00:00,2024-01-13 07:10:00+00:00,False,2555.685714,2435.871429,2387.945714
ETHUSDT,SHORT,2538.92,2563.21,0.0118,-0.286622,SL_hit,2024-01-13 12:00:00+00:00,2024-01-13 15:30:00+00:00,False,2560.575714,2506.436429,2484.780714
ETHUSDT,SHORT,2568.71,2553.49,0.0117,0.178074,trailing_stop,2024-01-14 01:30:00+00:00,2024-01-14 05:25:00+00:00,False,2586.252857,2542.395714,2524.852857
ETHUSDT,SHORT,2553.49,2545.99,0.0117,0.08775,trailing_stop,2024-01-14 05:25:00+00:00,2024-01-14 11:20:00+00:00,False,2569.495714,2529.481429,2513.475714
ETHUSDT,SHORT,2546.08,2537.75,0.0118,0.098294,trailing_stop,2024-01-14 12:15:00+00:00,2024-01-14 13:50:00+00:00,False,2561.382857,2523.125714,2507.822857
BTCUSDT,SHORT,42670.0,42312.8,0.0007,0.25004,trailing_stop,2024-01-13 01:00:00+00:00,2024-01-14 21:40:00+00:00,False,43587.028571,41294.457143,40377.428571
BTCUSDT,SHORT,42201.0,42788.1,0.0007,-0.41097,SL_hit,2024-01-15 01:00:00+00:00,2024-01-15 05:10:00+00:00,False,42740.228571,41392.157143,40852.928571
ETHUSDT,SHORT,2493.04,2525.93,0.012,-0.39468,SL_hit,2024-01-15 01:00:00+00:00,2024-01-15 09:20:00+00:00,False,2523.932857,2446.700714,2415.807857
ETHUSDT,SHORT,2520.94,2539.74,0.0119,-0.22372,SL_hit,2024-01-15 14:30:00+00:00,2024-01-15 18:20:00+00:00,False,2539.518571,2493.072143,2474.493571
ETHUSDT,SHORT,2520.13,2516.23,0.0119,0.04641,trailing_stop,2024-01-16 01:00:00+00:00,2024-01-16 02:00:00+00:00,False,2536.814286,2495.103571,2478.419286
ETHUSDT,SHORT,2519.79,2538.0,0.0119,-0.216699,SL_hit,2024-01-16 02:00:00+00:00,2024-01-16 03:55:00+00:00,False,2536.055714,2495.391429,2479.125714
BTCUSDT,SHORT,42680.6,43012.8,0.0007,-0.23254,SL_hit,2024-01-16 01:00:00+00:00,2024-01-16 08:45:00+00:00,False,43004.871429,42194.192857,41869.921429
ETHUSDT,SHORT,2578.51,2572.48,0.0116,0.069948,trailing_stop,2024-01-17 02:00:00+00:00,2024-01-17 05:35:00+00:00,False,2595.441429,2553.112857,2536.181429
BTCUSDT,SHORT,42785.2,42730.8,0.0007,0.03808,trailing_stop,2024-01-17 12:45:00+00:00,2024-01-17 14:40:00+00:00,False,43042.7,42398.95,42141.45
ETHUSDT,SHORT,2552.33,2573.09,0.0118,-0.244968,SL_hit,2024-01-17 12:45:00+00:00,2024-01-17 14:45:00+00:00,False,2568.048571,2528.752143,2513.033571
ETHUSDT,SHORT,2524.12,2541.76,0.0119,-0.209916,SL_hit,2024-01-18 01:00:00+00:00,2024-01-18 08:25:00+00:00,False,2540.821429,2499.067857,2482.366429
ETHUSDT,SHORT,2517.67,2534.1,0.0119,-0.195517,SL_hit,2024-01-18 12:00:00+00:00,2024-01-18 14:55:00+00:00,False,2533.442857,2494.010714,2478.237857
ETHUSDT,SHORT,2518.86,2471.59,0.0119,0.45801315,TP2_hit,2024-01-18 16:00:00+00:00,2024-01-18 17:10:00+00:00,True,2536.555714,2492.316429,2474.620714
BTCUSDT,SHORT,41267.5,41017.7,0.0007,0.2791005,trailing_stop,2024-01-19 01:00:00+00:00,2024-01-19 03:40:00+00:00,True,41549.228571,40844.907143,40563.178571
ETHUSDT,SHORT,2448.81,2465.68,0.0123,-0.207501,SL_hit,2024-01-19 03:15:00+00:00,2024-01-19 04:30:00+00:00,False,2463.754286,2426.393571,2411.449286
BTCUSDT,SHORT,41017.7,41340.2,0.0007,-0.22575,SL_hit,2024-01-19 03:40:00+00:00,2024-01-19 06:35:00+00:00,False,41309.585714,40579.871429,40287.985714
ETHUSDT,SHORT,2456.21,2446.4,0.0122,0.119682,trailing_stop,2024-01-22 01:00:00+00:00,2024-01-22 01:35:00+00:00,False,2471.407143,2433.414286,2418.217143
ETHUSDT,SHORT,2443.84,2437.91,0.0123,0.072939,trailing_stop,2024-01-22 01:35:00+00:00,2024-01-22 03:55:00+00:00,False,2462.645714,2415.631429,2396.825714
BTCUSDT,SHORT,41393.4,40939.0,0.0007,0.2869125,trailing_stop,2024-01-22 01:30:00+00:00,2024-01-22 05:15:00+00:00,True,41642.514286,41019.728571,40770.614286
ETHUSDT,SHORT,2326.89,2264.05,0.0129,0.59170365,TP2_hit,2024-01-23 01:00:00+00:00,2024-01-23 09:20:00+00:00,True,2351.112857,2290.555714,2266.332857
BTCUSDT,SHORT,39837.7,39094.1,0.0008,0.578656,trailing_stop,2024-01-23 01:00:00+00:00,2024-01-23 09:35:00+00:00,True,40274.757143,39182.114286,38745.057143
BTCUSDT,SHORT,38853.4,38838.3,0.0008,0.01208,trailing_stop,2024-01-23 12:00:00+00:00,2024-01-23 14:25:00+00:00,False,39355.814286,38099.778571,37597.364286
BTCUSDT,SHORT,39658.0,39920.5,0.0008,-0.21,SL_hit,2024-01-24 04:30:00+00:00,2024-01-24 07:10:00+00:00,False,39915.514286,39271.728571,39014.214286
ETHUSDT,SHORT,2223.98,2246.62,0.0135,-0.30564,SL_hit,2024-01-24 01:30:00+00:00,2024-01-24 10:35:00+00:00,False,2245.534286,2191.648571,2170.094286
ETHUSDT,SHORT,2233.99,2226.75,0.0134,0.097016,trailing_stop,2024-01-24 12:45:00+00:00,2024-01-24 14:25:00+00:00,False,2250.462857,2209.280714,2192.807857
ETHUSDT,SHORT,2223.16,2213.54,0.0135,0.12987,trailing_stop,2024-01-25 01:30:00+00:00,2024-01-25 03:00:00+00:00,False,2238.201429,2200.597857,2185.556429
ETHUSDT,SHORT,2214.19,2231.99,0.0135,-0.2403,SL_hit,2024-01-25 03:00:00+00:00,2024-01-25 10:40:00+00:00,False,2230.03,2190.43,2174.59
ETHUSDT,SHORT,2210.36,2189.77,0.0136,0.3261688,trailing_stop,2024-01-25 12:30:00+00:00,2024-01-25 16:20:00+00:00,True,2225.832857,2187.150714,2171.677857
BTCUSDT,LONG,41158.4,41419.8,0.0007,0.18298,trailing_stop,2024-01-26 13:00:00+00:00,2024-01-26 15:00:00+00:00,False,40643.657143,41930.514286,42445.257143
ETHUSDT,LONG,2248.81,2272.53,0.0133,0.315476,trailing_stop,2024-01-26 13:00:00+00:00,2024-01-26 17:10:00+00:00,False,2225.818571,2283.297143,2306.288571
BTCUSDT,LONG,41486.1,41785.2,0.0007,0.20937,trailing_stop,2024-01-26 15:00:00+00:00,2024-01-26 17:20:00+00:00,False,41056.057143,42131.164286,42561.207143
ETHUSDT,LONG,2287.03,2294.64,0.0131,0.099691,trailing_stop,2024-01-28 04:15:00+00:00,2024-01-28 05:30:00+00:00,False,2273.17,2307.82,2321.68
ETHUSDT,LONG,2286.32,2269.4,0.0131,-0.221652,SL_hit,2024-01-28 05:30:00+00:00,2024-01-28 12:15:00+00:00,False,2271.76,2308.16,2322.72
BTCUSDT,LONG,42463.4,42147.2,0.0007,-0.22134,SL_hit,2024-01-28 05:30:00+00:00,2024-01-28 16:30:00+00:00,False,42194.657143,42866.514286,43135.257143
BTCUSDT,LONG,42623.2,43039.7,0.0007,0.3543855,trailing_stop,2024-01-29 15:45:00+00:00,2024-01-29 17:05:00+00:00,True,42256.685714,43172.971429,43539.485714
ETHUSDT,LONG,2268.67,2299.36,0.0132,0.4007322,trailing_stop,2024-01-29 16:00:00+00:00,2024-01-29 17:05:00+00:00,True,2249.352857,2297.645714,2316.962857
BTCUSDT,LONG,43410.7,43551.7,0.0007,0.0987,trailing_stop,2024-01-30 01:30:00+00:00,2024-01-30 03:05:00+00:00,False,43143.957143,43810.814286,44077.557143
ETHUSDT,LONG,2317.48,2302.65,0.0129,-0.191307,SL_hit,2024-01-30 01:30:00+00:00,2024-01-30 06:30:00+00:00,False,2302.725714,2339.611429,2354.365714
BTCUSDT,LONG,43526.9,43392.9,0.0007,-0.0938,trailing_stop,2024-01-30 03:05:00+00:00,2024-01-30 12:25:00+00:00,False,43206.285714,44007.821429,44328.435714
BTCUSDT,LONG,42889.1,43360.0,0.0007,0.3627995,trailing_stop,2024-01-31 15:00:00+00:00,2024-01-31 16:30:00+00:00,True,42559.3,43383.8,43713.6
ETHUSDT,LONG,2323.64,2337.62,0.0129,0.180342,trailing_stop,2024-01-31 15:30:00+00:00,2024-01-31 17:20:00+00:00,False,2303.544286,2353.783571,2373.879286
BTCUSDT,LONG,43333.9,43511.9,0.0007,0.1246,trailing_stop,2024-01-31 16:30:00+00:00,2024-01-31 18:05:00+00:00,False,42866.985714,44034.271429,44501.185714
ETHUSDT,LONG,2519.22,2501.63,0.0119,-0.209321,SL_hit,2024-11-01 01:30:00+00:00,2024-11-01 01:55:00+00:00,False,2501.76,2545.41,2562.87
ETHUSDT,LONG,2501.63,2479.86,0.012,-0.26124,SL_hit,2024-11-01 01:55:00+00:00,2024-11-01 02:05:00+00:00,False,2480.852857,2532.795714,2553.572857
BTCUSDT,LONG,70359.7,71222.6,0.0004,0.34516,trailing_stop,2024-11-01 01:00:00+00:00,2024-11-01 14:40:00+00:00,False,68374.785714,73337.071429,75321.985714
ETHUSDT,LONG,2460.44,2476.58,0.0122,0.196908,trailing_stop,2024-11-04 01:30:00+00:00,2024-11-04 03:15:00+00:00,False,2438.491429,2493.362857,2515.311429
BTCUSDT,LONG,68690.1,69034.0,0.0004,0.13756,trailing_stop,2024-11-04 01:00:00+00:00,2024-11-04 03:55:00+00:00,False,68198.071429,69428.142857,69920.171429
ETHUSDT,LONG,2475.77,2450.28,0.0121,-0.308429,SL_hit,2024-11-04 03:15:00+00:00,2024-11-04 09:30:00+00:00,False,2451.717143,2511.849286,2535.902143
ETHUSDT,LONG,2411.7,2422.59,0.0124,0.135036,trailing_stop,2024-11-05 03:00:00+00:00,2024-11-05 07:25:00+00:00,False,2389.041429,2445.687857,2468.346429
BTCUSDT,LONG,67959.0,68817.9,0.0004,0.364256,trailing_stop,2024-11-05 01:00:00+00:00,2024-11-05 09:20:00+00:00,True,67415.328571,68774.507143,69318.178571
BTCUSDT,LONG,69959.6,69383.0,0.0004,-0.23064,SL_hit,2024-11-05 14:30:00+00:00,2024-11-05 15:25:00+00:00,False,69502.2,70645.7,71103.1
ETHUSDT,LONG,2508.15,2475.83,0.012,-0.38784,SL_hit,2024-11-06 01:00:00+00:00,2024-11-06 01:35:00+00:00,False,2478.317143,2552.899286,2582.732143
ETHUSDT,LONG,2473.65,2569.49,0.0121,0.92316345,TP2_hit,2024-11-06 01:35:00+00:00,2024-11-06 02:50:00+00:00,True,2437.432857,2527.975714,2564.192857
BTCUSDT,LONG,71282.8,73939.8,0.0004,0.754674,TP2_hit,2024-11-06 01:00:00+00:00,2024-11-06 03:00:00+00:00,True,70451.085714,72530.371429,73362.085714
BTCUSDT,LONG,75454.6,75394.9,0.0004,-0.02388,trailing_stop,2024-11-07 01:00:00+00:00,2024-11-07 01:40:00+00:00,False,74947.728571,76214.907143,76721.778571
ETHUSDT,LONG,2779.81,2811.0,0.0108,0.336852,trailing_stop,2024-11-07 01:00:00+00:00,2024-11-07 01:40:00+00:00,False,2741.512857,2837.255714,2875.552857
BTCUSDT,LONG,75394.9,74775.7,0.0004,-0.24768,SL_hit,2024-11-07 01:40:00+00:00,2024-11-07 04:35:00+00:00,False,74815.7,76263.7,76842.9
ETHUSDT,LONG,2915.36,2926.58,0.0103,0.115566,trailing_stop,2024-11-08 01:00:00+00:00,2024-11-08 13:30:00+00:00,False,2875.045714,2975.831429,3016.145714
ETHUSDT,LONG,2932.43,2942.6,0.0102,0.103734,trailing_stop,2024-11-08 13:30:00+00:00,2024-11-08 14:10:00+00:00,False,2910.232857,2965.725714,2987.922857
BTCUSDT,LONG,76113.0,76727.6,0.0004,0.318744,trailing_stop,2024-11-08 01:00:00+00:00,2024-11-08 20:10:00+00:00,True,75617.071429,76856.892857,77352.821429
ETHUSDT,LONG,2991.48,2963.21,0.01,-0.2827,SL_hit,2024-11-09 01:00:00+00:00,2024-11-09 04:10:00+00:00,False,2963.52,3033.42,3061.38
ETHUSDT,LONG,2963.21,3044.04,0.0101,0.71547895,TP2_hit,2024-11-09 04:10:00+00:00,2024-11-09 05:45:00+00:00,True,2938.91,2999.66,3023.96
ETHUSDT,LONG,3040.1,3039.0,0.0099,-0.01089,trailing_stop,2024-11-09 05:45:00+00:00,2024-11-09 06:35:00+00:00,False,3013.002857,3080.745714,3107.842857
ETHUSDT,LONG,3106.41,3127.23,0.0097,0.201954,trailing_stop,2024-11-10 01:00:00+00:00,2024-11-10 02:55:00+00:00,False,3068.568571,3163.172143,3201.013571
BTCUSDT,LONG,76703.5,77029.5,0.0004,0.229824,trailing_stop,2024-11-10 01:45:00+00:00,2024-11-10 02:55:00+00:00,True,76242.842857,77394.485714,77855.142857
BTCUSDT,LONG,77029.5,79330.9,0.0004,0.559576,TP2_hit,2024-11-10 02:55:00+00:00,2024-11-10 04:50:00+00:00,True,76464.042857,77877.685714,78443.142857
ETHUSDT,LONG,3196.99,3201.43,0.0094,0.041736,trailing_stop,2024-11-11 01:00:00+00:00,2024-11-11 01:55:00+00:00,False,3144.531429,3275.677857,3328.136429
BTCUSDT,LONG,80566.0,81283.4,0.0004,0.28696,trailing_stop,2024-11-11 01:00:00+00:00,2024-11-11 03:00:00+00:00,False,79522.885714,82130.671429,83173.785714
ETHUSDT,LONG,3201.43,3154.38,0.0094,-0.44227,SL_hit,2024-11-11 01:55:00+00:00,2024-11-11 05:20:00+00:00,False,3156.854286,3268.293571,3312.869286
ETHUSDT,LONG,3321.2,3326.66,0.009,0.04914,trailing_stop,2024-11-12 01:00:00+00:00,2024-11-12 01:50:00+00:00,False,3246.155714,3433.766429,3508.810714
BTCUSDT,LONG,89311.3,87300.1,0.0003,-0.60336,SL_hit,2024-11-12 01:00:00+00:00,2024-11-12 02:45:00+00:00,False,87408.485714,92165.521429,94068.335714
ETHUSDT,LONG,3321.13,3330.41,0.009,0.08352,trailing_stop,2024-11-12 01:50:00+00:00,2024-11-12 04:05:00+00:00,False,3241.682857,3440.300714,3519.747857
BTCUSDT,LONG,88561.4,87304.0,0.0003,-0.37722,SL_hit,2024-11-13 01:00:00+00:00,2024-11-13 02:20:00+00:00,False,87459.328571,90214.507143,91316.578571
ETHUSDT,LONG,3273.88,3218.1,0.0092,-0.513176,SL_hit,2024-11-13 01:45:00+00:00,2024-11-13 02:20:00+00:00,False,3225.852857,3345.920714,3393.947857
BTCUSDT,LONG,87700.1,89758.0,0.0003,0.4081935,TP2_hit,2024-11-13 12:00:00+00:00,2024-11-13 13:45:00+00:00,True,87063.914286,88654.378571,89290.564286
ETHUSDT,LONG,3207.89,3220.0,0.0094,0.113834,trailing_stop,2024-11-14 02:00:00+00:00,2024-11-14 04:25:00+00:00,False,3168.222857,3267.390714,3307.057857
BTCUSDT,LONG,90259.3,91126.6,0.0003,0.26019,trailing_stop,2024-11-14 01:00:00+00:00,2024-11-14 08:15:00+00:00,False,89125.742857,91959.635714,93093.192857
BTCUSDT,LONG,91563.3,90431.9,0.0003,-0.33942,SL_hit,2024-11-14 12:00:00+00:00,2024-11-14 14:35:00+00:00,False,90544.085714,93092.121429,94111.335714
BTCUSDT,LONG,88405.2,87220.8,0.0003,-0.35532,SL_hit,2024-11-15 02:45:00+00:00,2024-11-15 04:35:00+00:00,False,87436.457143,89858.314286,90827.057143
